family_scientific,family_new_english
Columbidae,Pigeons and Doves
Burhinidae,Stone-curlews
Recurvirostridae,Stilts and Avocets
Scolopacidae,Sandpipers and Snipes
Glareolidae,Coursers and Pratincoles
Procellariidae,Petrels and Shearwaters
Sulidae,Gannets
Phalacrocoracidae,Cormorants and Shags
Threskiornithidae,Ibises and Spoonbills
Ardeidae,Herons and Bitterns
Corvidae,Crows and Jays
Regulidae,Goldcrests and Kinglets
Sturnidae,Starlings
Muscicapidae,Old World Flycatchers
Motacillidae,Wagtails and Pipits
Calcariidae,Longspurs and Snow Buntings
Icteridae,New World Blackbirds
Cardinalidae,Cardinals and Grosbeaks